iri,baseIri,instances,label/IRI-based,label/undefined,attributes/0,id,superClasses/0,pos/0,pos/1,subClasses/0,subClasses/1,subClasses/2,subClasses/3,subClasses/4,subClasses/5,subClasses/6,subClasses/7,subClasses/8,union/0,union/1,attributes/1
http://www.hozo.jp/rdf/startuplife.xml#Private_transportion_Activity,http://www.hozo.jp/rdf/startuplife.xml,0,Private_transportion_Activity,Private transportion Activity,external,53,19,2579.632092684599,824.931829151343,94,71,95,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Apply,http://www.hozo.jp/rdf/startuplife.xml,0,Apply,Apply,external,23,14,934.0899154741229,301.4792248970891,96,26,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Ride_bike,http://www.hozo.jp/rdf/startuplife.xml,0,Ride_bike,Ride bike,external,94,53,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Rent_Transportation_tool,http://www.hozo.jp/rdf/startuplife.xml,0,Rent_Transportation_tool,Rent Transportation tool,external,62,20,1148.622846926924,-299.08476331845714,98,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Resident_card,http://www.hozo.jp/rdf/startuplife.xml,0,Resident_card,Resident card,external,99,89,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Rent_car,http://www.hozo.jp/rdf/startuplife.xml,0,Rent_car,Rent car,external,98,62,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Apply_for_financial_card,http://www.hozo.jp/rdf/startuplife.xml,0,Apply_for_financial_card,Apply for financial card,external,96,23,722.835972318779,-58.724829230641376,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#exit-entry_administration,http://www.hozo.jp/rdf/startuplife.xml,0,exit-entry_administration,exit-entry administration,external,100,60,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Make_phone_contract,http://www.hozo.jp/rdf/startuplife.xml,0,Make_phone_contract,Make phone contract,external,87,3,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#heath_insurance_card,http://www.hozo.jp/rdf/startuplife.xml,0,heath_insurance_card,heath insurance card,external,101,89,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Find_a_formal_job,http://www.hozo.jp/rdf/startuplife.xml,0,Find_a_formal_job,Find a formal job,external,15,13,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#rent_house,http://www.hozo.jp/rdf/startuplife.xml,0,rent_house,rent house,external,103,56,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Fire_insurance,http://www.hozo.jp/rdf/startuplife.xml,0,Fire_insurance,Fire insurance,external,34,32,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Organization,http://www.hozo.jp/rdf/startuplife.xml,0,Organization,Organization,external,1,9,1203.9612263830277,1501.6086283229629,0,104,70,105,60,58,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#map,http://www.hozo.jp/rdf/startuplife.xml,0,map,map,external,11,8,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#normal_job,http://www.hozo.jp/rdf/startuplife.xml,0,normal_job,normal job,external,106,107,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#wearable_device,http://www.hozo.jp/rdf/startuplife.xml,0,wearable_device,wearable device,external,108,83,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Rent,http://www.hozo.jp/rdf/startuplife.xml,0,Rent,Rent,external,20,14,1325.6795899674253,96.2152998201282,62,64,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#use_chat_app,http://www.hozo.jp/rdf/startuplife.xml,0,use_chat_app,use chat app,external,109,22,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Public_transportion_activity,http://www.hozo.jp/rdf/startuplife.xml,0,Public_transportion_activity,Public transportion activity,external,37,19,2523.488709685421,1040.3016483130357,36,39,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#larger-than,http://www.hozo.jp/rdf/startuplife.xml,0,larger-than,larger-than,external,28,29,1795.720974419094,128.63047207265953,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Context,http://www.hozo.jp/rdf/startuplife.xml,0,Context,Context,external,66,17,1723.972798079356,981.191562464718,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#student_card,http://www.hozo.jp/rdf/startuplife.xml,0,student_card,student card,external,110,89,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Drive_car,http://www.hozo.jp/rdf/startuplife.xml,0,Drive_car,Drive car,external,95,53,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Work,http://www.hozo.jp/rdf/startuplife.xml,0,Work,Work,external,107,5,1868.291300416383,1481.1001492088255,119,106,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#apply_by_webpage,http://www.hozo.jp/rdf/startuplife.xml,0,apply_by_webpage,apply by webpage,external,122,22,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Service,http://www.hozo.jp/rdf/startuplife.xml,0,Service,Service,external,5,17,1576.0799499295538,1144.499691635593,123,124,4,107,73,24,121,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Transportation_tool,http://www.hozo.jp/rdf/startuplife.xml,0,Transportation_tool,Transportation tool,external,75,9,514.3598667392014,1126.4485486465537,84,74,118,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#icoca_card,http://www.hozo.jp/rdf/startuplife.xml,0,icoca_card,icoca card,external,132,88,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Make_an_appointment,http://www.hozo.jp/rdf/startuplife.xml,0,Make_an_appointment,Make an appointment,external,21,14,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Go_to_city_hall,http://www.hozo.jp/rdf/startuplife.xml,0,Go_to_city_hall,Go to city hall,external,81,7,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#WholnessConcept,http://www.hozo.jp/rdf/startuplife.xml,0,WholnessConcept,WholenessConcept,external,65,,,,17,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#payment_card,http://www.hozo.jp/rdf/startuplife.xml,0,payment_card,payment card,external,88,9,486.54879909673724,1016.7787603806713,144,145,146,132,147,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Way,http://www.hozo.jp/rdf/startuplife.xml,0,Way,Way,external,68,17,1171.8567866688059,374.9770232972624,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#phone_call,http://www.hozo.jp/rdf/startuplife.xml,0,phone_call,phone call,external,152,22,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#House,http://www.hozo.jp/rdf/startuplife.xml,0,House,House,external,56,9,650.695134209793,1315.961124304187,103,55,,,,,,,,,,
